Source,Target,Score,Title,Author,Year,Subject
29945,98752,0.7602,"Predictors of smoking cessation in adults from two low socio-economic status communities in Montreal, Canada","Liu, Aihua, 1970-",2005,"Health Sciences, Public Health."
29945,135732,0.7527,Response shift in quality of life ratings in homeless individuals wih mental illness: a residuals analysis of the at homechez soi study,"Powell, Guido",2015,Epidemiology and Biostatistics
29945,39930,0.7514,"The influence of psychotherapists' mood, personality traits, and life events on clinical formulations and treatment recommendations","Herskovitz-Kelner, Nora",1995,Psychotherapist and patient
29920,29920,1,Time course of neuronal degeneration in the pilocarpine model of epileptogenesis,"Poirier, Julie.",1999,"Biology, Neuroscience."
29920,35993,0.885,The neuronal response to injury ,"Colicos, Michael Adrian.",1999,"Biology, Molecular."
29920,84036,0.8795,Nerve-injury evoked changes in the innervation of the skin of the rat lower lip,"Grelik, Cynthia",2005,"Health Sciences, Pharmacology."
29920,35635,0.8787,Long-term potentiation induced by temporary block of glycolysis in CA1 hippocampal neurons,"Baltan, Selva.",1998,"Biology, Molecular."
29920,35916,0.8678,Synaptic organization of the neurokinin system in the sensory spinal cord,"McLeod, Amber L.",1999,"Biology, Neuroscience."
29920,138811,0.8657,Neuregulin-1ErbB activity in hippocampal plasticity and psychopathology,"Mahar, Ian",2016,Neuroscience
29925,29925,1,Development of polymer-supported synthetic procedure for Heyns rearrangement products,"Tateyama, Miho.",1999,Maillard reaction.
29925,21313,0.8881,A kinetic model for the transformation of phenol by peroxidase ,"Massam, Alexandra.",1999,"Engineering, Chemical."
29925,28918,0.8788,"Hydrolase catalyzed resolutions of enantiomers : a structural basis for the chiral preference of lipases : preparation of enantiomerically-pure phosphines, phospine oxides, sulfoxides and pipecolic acid","Serreqi, Alessio N.",1994,"Chemistry, Pharmaceutical."
29925,138817,0.8786,Palladium-catalyzed carbonylative synthesis of acid chorides and use in multicomponent coupling reactions,"Quesnel, Jeffrey",2016,Chemistry
29925,111575,0.878,Expedient synthesis of chiral poly-substituted morpholine and oxazepine derivatives for the preparation of cyclophilin A inhibitors,"Bilbeisi, Rana A., 1983-",2008,Peptidylprolyl isomerase -- Inhibitors.
29925,35842,0.878,Functionalized siloxane based polymers and network materials for second-order nonlinear optics,"Jiang, Hongwei, 1962-",1999,"Chemistry, Inorganic."
28984,28984,1,Protein kinase C and growth regulation in malignant gliomas,"Baltuch, Gordon Hirsh",1995,"Biology, Neuroscience."
28984,85118,0.896,Roles of c-Src and hDRR1 in glioma cell invasion,"Angers-Loustau, Alexandre",2005,"Biology, Neuroscience."
28984,107629,0.8936,Ultrasound-guided brain tumor resection,"Mercier, Laurence",2012,Engineering - Biomedical
28984,81339,0.8888,ROCK (Rho-kinase) protein inhibitors decrease malignant glioma invasion,"Hering, Ramm",2004,"Biology, Neuroscience."
28984,116975,0.8874,Characterising DRR as a novel regulator of focal adhesion dynamics,"Ajlan, Abdulrazag",2013,Biology - Neuroscience 
28984,110759,0.8784,Leptin as a molecular modulator of neuroinflammation,"Nelson, Eric",2012,Biology - Neuroscience 
28990,28990,1,Phosphorous and iron reactions as influenced by pH and oxygen released in the rice (Oryza sativa) rhizosphere,"Begg, Caroline B. M.",1995,Rice -- Roots -- Physiology.
28990,99183,0.8477,"Factors influencing rice production efficiency in Ban Home, Laos","Hem Inthavong, Khamla.",2006,Rice -- Yields -- Laos.
28990,103713,0.8453,Soil properties and the response of rice production to water regime and fertilizer source in low fertility soils of the Republic of Panama,"Turmel, Marie-Soleil",2011,Agriculture - Soil Science
28990,123298,0.8331,Parboiling characteristics of selected rice varieties from Nigeria,"Ejebe, Chijioke",2014,Agriculture - Food Science and Technology
28990,143668,0.8327,Characterization of rice husks as a biofuel feedstock towards sustainable rural rice processing in Sub-Saharan Africa,"Bakari, Mohammed",2016,Bioresource Engineering
28990,141413,0.8078,Improving energy supply and use in the rice value chain using rice husk energy systems,"Kwofie, Ebenezer",2016,Bioresource Engineering
30246,30246,1,Measurement of static liquid holdup at low EOTVOS numbers,"Hanstead, Alison Rae.",2000,"Engineering, Chemical."
30246,68505,0.872,Characteristics of a transferred-arc plasma,"Mehmetoḡlu, Mustafa Tanju.",1980,Plasma arc melting.
30246,40349,0.8508,Synthesis of calcium carbide in a plasma spout fluid bed,"El-Naas, Muftah Hassan.",1996,"Engineering, Chemical."
30246,68548,0.8491,Operating characteristics and energy distribution in transferred plasma arc systems : a thesis,"Choi, H. K. (Hyun Koo), 1947-",1980,Plasma arc melting.
30246,95129,0.8475,Study of the effect of operating parameters on alumina nanoparticle synthesis in a novel induction plasma reactor,"Marion, Frédéric",2010,Engineering - Chemical
30246,20147,0.8413,On-line ultrasonic monitoring of injection molding and die casting processes,"Cao, Bin.",1996,"Engineering, Electronics and Electrical."
30138,30138,1,A framework for the love of nature : Henry David Thoreau's construction of the Wild in Walden and the gift as an ethos for architecture,"Sandstra, Theodore.",1999,"Thoreau, Henry David, 1817-1862. Walden."
30138,84197,0.7466,Imperialist intent - colonial response : the art collection and cultural milieu of Lord Strathcona in nineteenth-century Montreal,"Pierce, Alexandria, 1949-",2002,"Strathcona and Mount Royal, Donald Alexander Smith, Baron, 1820-1914 -- Art collections"
30138,23202,0.7421,Towards the architecture of the future : César Daly and the science of expression,"Merwood, Joanna",1995,"Daly, César, 1811-1893"
30138,35954,0.739,"The methaphysical foundations of modern physical science : a window on the life and work of E. A. Burtt, twentieth-century pragmatist and postmodernthinker","Villemaire, Diane Elizabeth Davis.",1998,"Burtt, Edwin A. (Edwin Arthur), 1892- Methaphysical foundations of modern physical science."
30138,138909,0.7381,Une polémique au crépuscule de la République des Lettres : l'affrontement Marchand-Des Maizeaux sur l'édition critique d'oeuvres de Bayle,"Hansen, Ann-Marie",2016,French Language and Literature
30138,22550,0.7371,"Stars, stones and architecture : an episode in John Dee's natural philosophy","Wagler, Brent M.",1995,"Dee, John, 1527-1608 -- Criticism and interpretation"
30249,30249,1,Surfactant solubilization of polycyclic aromatic hydrocarbons from nonaqueous phase liquids,"Hill, Alex J.",1999,"Engineering, Civil."
30249,135576,0.8887,Role of ATP and ATPase activity in mineralization,"Bennagi, Aya",2015,Dentistry
30249,38095,0.8767,Horseradish peroxidase-catalyzed removal of phenols from industrial wastewaters,"Wagner, Monika.",2001,"Engineering, Civil."
30249,68591,0.8707,The chemical synthesis of ribonucleotides using the dichlorophosphite method : a thesis,"Theriault, Nicole.",1981,RNA.
30249,151688,0.8698,Degradation of lignin by ozone ,"Mbachu, Reginald Darlington.",1979,Lignin.
30249,117162,0.8696,ATP-mediated mineralization of MC3T3-E1 osteoblast cultureS,"Bensaud, Nabila",2013,Health Sciences - Dentistry
30213,30213,1,The role of Canadian music in the preparation of music specialists in British Columbia ,"Sanyshyn, James Evan.",1999,Music teachers -- Training of -- British Columbia.
30213,30185,0.887,Educational reform and the process of change in Canadian university music education programs,"Lorenzino, Lisa M.",1999,Music -- Instruction and study -- Canada.
30213,111519,0.8471,Implementing multicultural music education in the elementary schools' music curriculum,"Schaus, Lam E.",2007,Music -- Cross-cultural studies.
30213,35225,0.8398,The effects of an alternative instrumental music program on elementary school children,"Walsh, Brenda, 1956-",1995,School music -- Instruction and study
30213,150662,0.8068,Old catsnew tricks: Introducing improvisation to older adult musicians,"Schwarz, Gretchen",2018,UMIC code is not required - UMIC code is not required
30213,146813,0.7882,Improvise: research-creation of a framework and software prototype for creative music learning with technology,"Khoury, Stephanie",2017,Music
30251,30251,1,Deadbeat contolled PWM converter,"Hu, Jian, 1971-",1999,"Engineering, Electronics and Electrical."
30251,141482,0.8581,Synthesis of ultra-high gain operational transconductance amplifiers using a generalized controller-based compensation method,"Yang, Ming",2016,Electrical and Computer Engineering
30251,99401,0.8561,A programmable analog Gaussian noise generator for test applications ,"Aouini, Sadok.",2006,"Engineering, Electronics and Electrical."
30251,56794,0.8557,Series and parallel voltage sources SPWM converters,"Kuang, Jinbo",1992,"Engineering, Electronics and Electrical."
30251,30252,0.8521,Shunt statcom based on 3-level diode-clamped converters and twelve-phase magnetics,"Huang, Xiaogang, 1968-",1999,"Engineering, Electronics and Electrical."
30251,95128,0.8491,Damping of electromechanical oscillations in wide-area power systems such as the Trans-Canadian grid,"Golestanifar, Hamed",2010,Engineering - Electronics and Electrical
30257,30257,1,Finding salient objects in an image,"Lau, Anthony Hang Fai, 1975-",2000,"Engineering, Electronics and Electrical."
30257,38150,0.8953,An adaptable recognition system for biological and other irregular objects ,"Bernier, Thomas.",2001,Computer vision.
30257,121191,0.8673,Multi-feature RGB-D generic object tracking using a simple filter hierarchy,"Entin, Irina",2014,Applied Sciences - Artificial Intelligence
30257,33966,0.8616,3D tracking of non-rigid articulated objects,"Djambazian, Haig.",2001,"Engineering, Electronics and Electrical."
30257,79261,0.8437,Hierarchical pose estimation from range data for space applications,"Simard, Louis",2002,"Engineering, Electronics and Electrical."
30257,74230,0.8431,The local structure of image intensity discontinuities ,"Leclerc, Yvan G.",1989,Computer Science.
28992,28992,1,On the flow mechanics of mine backfill slurries in pipelines,"Bouzaiene, Riadh",1995,"Engineering, Mechanical."
28992,70222,0.8495,The mechanics of lubricant starvation in rolling element bearings ,"Klinger, Edward",1991,"Engineering, Mechanical."
28992,119287,0.8406,Ovalling vibration of cylindrical shells in cross flow,"Suen, Hon-ching",1980,Cylinders -- Aerodynamics.
28992,67040,0.8396,Condition assessment of concrete bridge girders using modal testing - a preliminary study,"Chalishajar, Nirajkumar",2009,Engineering - Civil
28992,83929,0.8318,Rheological yield stress measurements of mine paste fill material,"Saebimoghaddam, Abdolreza",2005,"Engineering, Mining."
28992,33320,0.8316,Hydrogen in enameling steel,"Ahn, ByeoungSoo, 1959-",2000,"Engineering, Metallurgy."
28994,28994,1,Thermodynamic and structural properties related to the gelation of whey proteins,"Boye, Joyce Irene Ashami",1995,Whey products.
28994,38143,0.9072,Separation and structural characterization of alpha-lactalbumin and beta-lactoglobulin from whey products,"Alomirah, Husam Fahd.",2002,Whey products.
28994,23292,0.887,Correlation of FTIR spectra of protein gels to rheological measurements of gel strength,"Rejaei, Ali Reza",1995,Globular proteins.
28994,97061,0.8542,"An investigation of effects of microwave treatment on the structure, enzymatic hydrolysis and nutraceutical properties of ß-lactoglobulin ","Gomaa, Ahmed",2011,Agriculture - Food Science and Technology
28994,143999,0.8465,Development of zein protein-based hydrogels and aerogels having potentials as heavy metal ion chelators and diesel fuel absorbents,"Ni, Na",2016,Bioresource Engineering
28994,84100,0.8455,Effects of pressurization on the digestibility and glutathione inducing property of whey protein isolates in rats and mice,"Jing, Yan, 1975-",2005,Whey.
29004,29004,1,"The exchange rate mechanism of the European Monetary System : volatility, target zones and prospects","Crowley, Patrick M., 1959-",1995,European Monetary System (Organization)
29004,115647,0.8769,Economic policies in developing and emerging market economies : three essays in international and development economics,"Wang, Shengzu, 1978-",2008,Developing countries -- Economic conditions.
29004,150804,0.8478,Essays on exchange rate and inflation dynamics,"Uddin, Noor Mohammad",2018,UMIC code is not required - UMIC code is not required
29004,102851,0.8397,Three essays on volatility long memory and European option valuation,"Wang, Yintian, 1976-",2007,Stocks -- Prices -- Mathematical models.
29004,85172,0.8199,Three essays on the macroeconomic effects of international capital flows,"Kahsay, Shibeshi Ghebre",2004,Capital movements -- Asia.
29004,100344,0.8127,Essays in monetary economics and international macroeconomics,"Darku, Alexander Bilson.",2005,Money.
29560,29560,1,Sound towers : evoking the musical dimension of Gaudí,"Hollett, Philip",2002,"Gaudí, Antoni, 1852-1926 -- Themes, motives"
29560,35858,0.7913,Ethics and poetics : the architectural vision of Saint Francis of Assisi,"Caicco, Gregory Paul.",1998,"Francis, of Assisi, Saint, 1182-1226 -- Views on church architecture."
29560,20938,0.7771,An architectural excursus into the site of becoming : Domenico Fontana's Della trasportatione dell'obelisco Vaticano,"Toker, Eric Solomon.",1998,"Fontana, Domenico, 1543-1607. Della trasportatione dell'obelisco Vaticano."
29560,148387,0.756,Secret gardens: The garden room of the Villa of Livia «Ad Galinas Albas» at Prima Porta,"Halpert Cole, Marianne",2017,Art History and Communications Studies
29560,23318,0.7504,Guarino Guarini's SS. Sindone Chapel : between reliquary and cenotaph,"Debanné, Janine",1995,"Guarini, Guarino, 1624-1683 -- Criticism and interpretation"
29560,66728,0.7447,Frederick the Great's porcelain diversion: the Chinese Tea House at Sanssouci,"Shamy, Tania Solweig",2009,Communications And The Arts - Art History
30114,30114,1,Determining parental obligations to unborn children using a social contract theory,"Sepinwall, Amy J.",1999,"Gauthier, David P."
30114,55498,0.7505,Constraints on kinship in predicting social behaviour in vervet monkeys (Cercopithecus aethiops sabaeus),"Govindarajulu, Purnima T.",1993,Cercopithecus aethiops -- Behavior.
30114,115849,0.7389,A lifecourse epidemiological study of dynamic family structure and child behavior : conceptualization and modeling issues,"McDonald, Sheila, 1971 Nov.17-",2009,Child Behavior -- Canada.
30114,37888,0.7318,"Infant, mother and contextual factors related to mothers' interactions with their very-low-birthweight infants","Feeley, Nancy.",2001,"Health Sciences, Nursing."
30114,104775,0.7289,Integrating rights and duties: achieving children's autonomy in a culturally diverse world,"Nnadozie, Ugochi",2011,Social Sciences - Law
30114,60038,0.7269,Parental attitudes toward child-rearing : toward the development of a new measure,"Cohen, Mindy",1990,Child rearing
30115,30115,1,"A modelling study of the Garden City, Kansas, storm during VORTEX-95 ","Anselmo, David.",1999,"Physics, Atmospheric Science."
30115,115876,0.854,Numerical study of a tornado-like vortex in a supercell storm,"Santos, Jorge Ruben.",2008,Vortex-motion -- Mathematical models.
30115,33022,0.8304,"A case study of the CAGES hail storm at Fort Simpson, Northwest Territories ","Plette, Nicole C.",2001,"Physics, Atmospheric Science."
30115,42058,0.8251,Numerical prediction and potential vorticity diagnosis of extratropical cyclones,"Huo, Zonghui.",1996,"Physics, Atmospheric Science."
30115,127256,0.8246,Thermally-driven circulation and convection over a mountainous tropical island,"Wang, Chun-Chih",2014,Earth Sciences - Atmospheric Sciences
30115,59910,0.8245,Spatial sampling and vertical variability effects on microwave radiometer rainfall estimates,"Turner, Barry John",1991,"Physics, Atmospheric Science."
29561,29561,1,Extending the principle of the common heritage of mankind to outer space,"Dietrich, George B.",2002,Space law
29561,84212,0.8342,Legal basis for a national space legislation,"Hermida, Julian.",2003,Space law
29561,23438,0.8213,The development of international space law : international cooperation in Outer Space - meeting the needs of the developing countries,"Ferrier, Jill",1995,Law.
29561,20541,0.8205,"Outer space activities, international cooperation and the developing countries","Milinic Djapo, Gordana.",1998,"Political Science, International Law and Relations."
29561,40726,0.82,A balancing act: a framework for participation of non-state actors in the World Trade Organization,"Majlessi, Mohammad",2009,Social Sciences - Law
29561,74282,0.8073,State-society relations and the design and implementation of public policy : an application of the state-centered paradigm to a case study of the National Energy Program,"Gallagher, Stephen J.",1989,Political planning -- Canada
30259,30259,1,Influence of size on punching shear strength of concrete slabs,"Li, Kevin Ka Lun, 1975-",2000,"Engineering, Civil."
30259,21294,0.8677,Effect of high-strength concrete on the performance of slab-column specimens,"Ghannoum, Carla M.",1998,"Engineering, Civil."
30259,40841,0.8369,Preventing progressive collapse of flat plate structures with an irregular layout of structural integrity reinforcement,"Egberts, Michael",2009,Engineering - Civil
30259,28005,0.8325,Effect of fibre-reinforced concrete on the performance of slab-column specimens,"McHarg, Peter J.",1997,"Engineering, Civil."
30259,40840,0.8275,Post-punching response of flat plate slab-column connections,"Redl, Erin",2009,Engineering - Civil
30259,130304,0.7914,Post-punching shear behaviour of full-scale slab structure with edge and corner columns,"Zhang, Li",2015,Engineering - Civil
30262,30262,1,Precipitation of nickel sulphate from decopperised acid solution by solvent displacement crystallisation,"Moldoveanu, Georgiana A.",1999,"Engineering, Metallurgy."
30262,39752,0.8223,Kinetics of removal of calcium and sodium by chlorination from aluminum and aluminum-1wt% magnesium alloys,"Külünk, Bahadir",1992,"Engineering, Metallurgy."
30262,61225,0.8145,The kinetics of copper etching in ferric chloride-hydrochloric acid solutions ,"Bryce, Christine",1992,"Engineering, Chemical."
30262,33329,0.8129,Electrowinning of metal - DETA complexes,"Felsher, Dave.",2000,"Engineering, Metallurgy."
30262,85627,0.8055,Crystallisation of inorganic compounds with alcohols,"Moldoveanu, Georgiana A.",2005,"Engineering, Metallurgy."
30262,28772,0.8011,Metal entrainment in continuous liquid phase drosses,"Hancock, Peter",1994,"Engineering, Metallurgy."
29042,29042,1,Patterns of interlimb coordination during asymmetrical reaching movements,"Hatzitaki, Vassilia",1995,Arm -- Movements
29042,119609,0.8383,Spatial and temporal effects on molecular signaling networks,"Naqib, Faisal",2013,Biology - Physiology
29042,74245,0.838,Reaching movements and pursuit tracking performance in patients with Parkinson's disease,"Zackon, Warren T.",1989,Parkinson's disease.
29042,32582,0.8357,"Neural correlates of spatial and temporal context memory, an fMRI investigation","Crane, David",2009,Biology - Neuroscience
29042,61122,0.8299,Power flow analysis as a method to document coordination disabilities observed in Parkinson's disease,"Hatzitaki, Vassilia",1991,Parkinson's disease
29042,20469,0.8262,Compensation for the gravitational force on the jaw during speech,"Shiller, Douglas M.",1998,Biomechanics
29044,29044,1,Silyhydrazines : chemistry and pyrolytic conversion to Si-N-C ceramic materials,"He, Jiliang",1995,"Chemistry, Inorganic."
29044,18419,0.9017,One step copper-catalyzed functionalization of pyridines with alkynes and organoindium reagents,"Beveridge, Ramsay",2007,Chemistry - Organic
29044,41975,0.8876,Chemistry of biphenoxy radicals,"Barbiero, Gennaro.",1997,"Chemistry, Organic."
29044,70273,0.8861,Methods for the synthesis of macrocyclic and bolaform phosphatidylcholines,"Hébert, Normand C., 1930-",1991,"Chemistry, Organic."
29044,29026,0.8808,New methods for cross-linking of high performance polymers,"Gao, Chunping",1995,"Chemistry, Polymer."
29044,39231,0.8792,"A unified ligand effect in Co(III) complexes : decarboxylation, phosphate diester hydrolysis and methyl acetate hydrolysis","Moore, Andrew",1990,"Chemistry, Organic."
29062,29062,1,The effects of low pressure nitrogen on titanium cathode sources in TiN arc ion-plating,"Kim, George E. (George Ea-Hwan)",1995,"Engineering, Materials Science."
29062,100250,0.8768,Silicon carbide RF-MEM resonators,"Dusatko, Tomas A.",2006,Radio frequency microelectromechanical systems -- Design and construction.
29062,69702,0.8682,Droplets generation mechanisms by graphite cathodes in the vacuum arc deposition technique,"Kandah, Munther",1993,"Physics, Fluid and Plasma."
29062,18414,0.8656,Measurement of the Young's modulus of Hexoloy silicon carbide thin films using nanoindentation,"Crocker, Janina",2007,Engineering - Mechanical
29062,29383,0.8641,Sintering of aluminum nitride with Y2O3 by secondary phase composition control,"Baik, Youngmin",1995,"Engineering, Materials Science."
29062,82854,0.8627,Molecularly self-assembled thin films : theoretical evaluation and experimental fabrication,"Dickie, Adam J.",2003,"Chemistry, Physical."
30157,30157,1,Hybridizing the human body : the hydrological development of acupuncture in early Imperial China,"Daly, Nigel Peter.",1999,"History, Asia, Australia and Oceania."
30157,23351,0.8011,The thousand buddha motif : a visual chant in buddhist cave-temples along the silk road,"Pepper, France A. (France Allison)",1995,"Cave temples, Buddhist -- China -- Gansu Sheng"
30157,102787,0.7747,"Wat Phra Chetuphon : the narratives of form, symbol, and architectural order in the Thai temple","Bell, John Barry.",2006,"Wat Phrachētuphon (Bangkok, Thailand)"
30157,112595,0.768,"Pure mind, pure land : a brief study of modern Chinese pure land thought and movements","Wei, Tao, 1971-",2007,Pure Land Buddhism -- China.
30157,96714,0.767,A study of the central scripture of Laozi (Laozi zhongjing) ,"Iliouchine, Alexandre",2011,"History - Asia, Australia and Oceania"
30157,30146,0.7663,Reinvention of Taoist ritual among Yao minorities,"Batik, Paul.",1999,Yao (Southeast Asian people)
30172,30172,1,Attending to form and meaning in processing second language input : a study of advanced second language learners,"González Fariña, Elena.",2000,Second language acquisition.
30172,104584,0.8184,Peer interaction and corrective feedback: proceduralization of grammatical knowledge in classroom settings,"Sato, Masatoshi",2011,Education - Bilingual and Multicultural
30172,29849,0.8152,Examining conditions of incidental L2 vocabulary acquisition through reading,"Zahar, Richard M.",1999,English language -- Study and teaching (Secondary) -- Foreign speakers.
30172,106514,0.8134,Targeting count and noncount nouns in English through textual enhancement and elaboration tasks: effects on L2 development and text comprehension,"Tanaka, Samira",2012,Education - Language and Literature 
30172,151871,0.8106,Language systems in adult informal second language learners,"Nelson, John E.",1980,Adult education.
30172,82686,0.8098,Maturing metalinguistically : negotiation of form and the refinement of repair,"Bouffard, Laura Annie",2005,French language -- Study and teaching (Elementary) -- Foreign speakers
29570,29570,1,Robust registration of volumetric image data,"Reinertsen, Ingerid R.",2002,"Engineering, Biomedical."
29570,102952,0.8286,Representing junctions through asymmetric tensor diffusion,"Arseneau, Shawn.",2006,Computer vision.
29570,69716,0.8282,Creating 3D computer objects by integrating multiview range data,"Blais, Gerard.",1993,"Engineering, General."
29570,38493,0.8238,On the perception of transparency : psychophysics and applications to medical image visualisation,"Kasrai, Reza",2002,"Engineering, Biomedical."
29570,74530,0.8212,"Applications of two-dimensional image analysis to mineral liberation studies (Brunswick Mining and Smelting, Bathurst, N.B.)","Hill, Gregg S.",1990,"Engineering, Metallurgy."
29570,102957,0.8202,Camera-independent learning and image quality assessment for super-resolution,"Bégin, Isabelle.",2007,Computer vision.
29573,29573,1,Testing and characterization of a parallel optical interconnect for a scalable routing system,"Salzberg, Mitchell",2002,"Engineering, Electronics and Electrical."
29573,132838,0.8721,Design and characterization of 35 GHz silicon photonic travelling wave modulator for next generation short reach communication links,"Samani, Alireza",2015,Engineering - Electronics and Electrical
29573,148348,0.8546,A novel electrical-optical interconnect,"Banan, Behnam",2017,Electrical and Computer Engineering
29573,106290,0.842,High-speed burst-mode clock and data recovery circuits for multiaccess networks,"Shastri, Bhavin",2012,Engineering - Electronics and Electrical
29573,98962,0.8394,Contention resolution and label switching in optical multiprotocol label switching networks,"Gordon, Reuven Eli.",2005,"Engineering, Electronics and Electrical."
29573,99792,0.8393,Burst-mode clock and data recovery with FEC for passive optical networks,"Shastri, Bhavin Jayprakash.",2007,Optical communications.
29574,29574,1,Voice conferencing over IP networks,"Smith, Paxton J.",2002,"Engineering, Electronics and Electrical."
29574,82497,0.8576,Robust bandwidth extension of narrowband speech,"Hsu, Wei-shou, 1981-",2004,"Engineering, Electronics and Electrical."
29574,84239,0.8414,Classification-based techniques for digital coding of speech-plus-noise,"El-Maleh, Khaled Helmi",2004,"Engineering, Electronics and Electrical."
29574,86808,0.8344,Quality-of-service routing for Voice-over-IP in service overlay networks,"Li, Hong",2010,Engineering - Electronics and Electrical
